Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C8",0402,4,1u,C52923
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C6, C7, C9",0402,47,100n,C1525
"C3, C4",0402,2,30p,C161152
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D4, D5, D6, D7, D8, D9",SK6812-EC20,36,SK6812,C2909058
D37,SOT-363_SC-70-6,1,~,C15879
DS1,368030501246,1,~,
"F1, F2",0805,2,Fuse,C116170
"R1, R2",0402,2,5.1k,C25905
"R10, R4",0402,2,10k,C25744
R11,0402,1,0,C17168
"R12, R13, R8, R9",0603,4,22,C23345
"R3, R5",0402,2,1k,C11702
"R6, R7",0402,2,27,C138021
"SW1, SW2",SKRAAKE010,2,SW_Push,C115354
SW10,SW_Hotswap_Kailh_MX_Plated,1,Up,
SW11,SW_Hotswap_Kailh_MX_Plated,1,1P / X,
SW12,SW_Hotswap_Kailh_MX_Plated,1,2P / Y,
SW13,SW_Hotswap_Kailh_MX_Plated,1,3P / RB,
SW14,SW_Hotswap_Kailh_MX_Plated,1,4P / LB,
SW15,SW_Hotswap_Kailh_MX_Plated,1,1K / A,
SW16,SW_Hotswap_Kailh_MX_Plated,1,2K / B,
SW17,SW_Hotswap_Kailh_MX_Plated,1,3K / RT,
SW18,SW_Hotswap_Kailh_MX_Plated,1,4K / LT,
SW19,SW_Hotswap_Kailh_MX_Plated,1,L3,
SW20,SW_Hotswap_Kailh_MX_Plated,1,R3,
SW21,SW_Hotswap_Kailh_MX_Plated,1,Touch,
SW22,SW_Hotswap_Kailh_MX_Plated,1,DDI_Up,
SW23,SHOU HAN SK12D07VG3,1,SW_SPDT,C431547
"SW24, SW25",SHOU HAN SK13D07VG3,2,SW_SP3T,C2681580
SW26,MS-22C01-G010,1,SW_DPDT,C2837066
SW27,SS-22G88-G090,1,SW_DPDT,C2848925
SW3,TSF001A16026A,1,Menu,C2888706
SW4,TSF001A16026A,1,Guide,C2888706
SW5,TSF001A16026A,1,View,C2888706
SW6,TSF001A16026A,1,FN,C2888706
SW7,SW_Hotswap_Kailh_MX_Plated,1,Left,
SW8,SW_Hotswap_Kailh_MX_Plated,1,Down,
SW9,SW_Hotswap_Kailh_MX_Plated,1,Right,
U1,SOT-23-5,1,TLV73333PDBV,C134139
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U3,RP2040-QFN-56,1,RP2040,C2040
U4,SOT-23-5,1,SN74LV1T34DBVR,C100024
USB1,HRO TYPE-C-31-M-08A,1,~,C2848616
"USB2, USB3",U-A-24DD-W-16,2,USB_A,C2689981
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
